zipcode,cases,date
54826,0,8/13/20
54827,0,8/13/20
54828,0,8/13/20
54829,0,8/13/20
54830,0,8/13/20
54832,0,8/13/20
54835,0,8/13/20
54836,0,8/13/20
54837,0,8/13/20
54838,0,8/13/20
54839,0,8/13/20
54840,0,8/13/20
54841,0,8/13/20
54842,0,8/13/20
54843,0,8/13/20
54844,0,8/13/20
54845,0,8/13/20
54846,0,8/13/20
54847,0,8/13/20
54848,0,8/13/20
54849,0,8/13/20
54850,0,8/13/20
54853,0,8/13/20
54854,0,8/13/20
54855,0,8/13/20
54856,0,8/13/20
54857,0,8/13/20
54858,0,8/13/20
54859,0,8/13/20
54861,0,8/13/20
54862,0,8/13/20
54864,0,8/13/20
54865,0,8/13/20
54867,0,8/13/20
54868,0,8/13/20
54870,0,8/13/20
54871,0,8/13/20
54872,0,8/13/20
54873,0,8/13/20
54874,0,8/13/20
54875,0,8/13/20
54876,0,8/13/20
54880,0,8/13/20
54888,0,8/13/20
54889,0,8/13/20
54891,0,8/13/20
54893,0,8/13/20
54895,0,8/13/20
54896,0,8/13/20
55001,17,8/13/20
55003,14,8/13/20
55005,11,8/13/20
55006,7,8/13/20
55007,<=5,8/13/20
55008,43,8/13/20
55009,59,8/13/20
55011,63,8/13/20
55012,15,8/13/20
55013,25,8/13/20
55014,212,8/13/20
55016,372,8/13/20
55017,<=5,8/13/20
55018,<=5,8/13/20
55019,6,8/13/20
55020,20,8/13/20
55021,851,8/13/20
55024,206,8/13/20
55025,138,8/13/20
55026,0,8/13/20
55027,9,8/13/20
55029,0,8/13/20
55030,<=5,8/13/20
55031,<=5,8/13/20
55032,7,8/13/20
55033,210,8/13/20
55036,<=5,8/13/20
55037,<=5,8/13/20
55038,134,8/13/20
55040,70,8/13/20
55041,16,8/13/20
55042,93,8/13/20
55043,17,8/13/20
55044,481,8/13/20
55045,30,8/13/20
55046,22,8/13/20
55047,12,8/13/20
55049,18,8/13/20
55051,33,8/13/20
55052,12,8/13/20
55053,<=5,8/13/20
55054,16,8/13/20
55055,47,8/13/20
55056,51,8/13/20
55057,154,8/13/20
55060,305,8/13/20
55063,21,8/13/20
55065,<=5,8/13/20
55066,50,8/13/20
55068,262,8/13/20
55069,10,8/13/20
55070,46,8/13/20
55071,81,8/13/20
55072,<=5,8/13/20
55073,<=5,8/13/20
